description,category,amount
KEBAB SHOP DIRECT DEBIT NEW YORK CAPPUCCINO,cafe_restaurant,-29.85
Payout Outing Bonus Received,income,4832.45
IHERB*7XB1PUIO2,health,-77.95
direct debit mortgage,bills_utilities,-955.19
autopay local market fee,groceries,-51.57
ACCESSORIES CREDITED PHONE,shopping,-460.96
FARE NEAR WORK,transport,-14.38
PURCHASE HUMBLE BUNDLE,entertainment,-102.34
Spar | Charge | Zmfnpa18 Groceries,groceries,-18.53
RECURRING CHINESE RESTAURANT SNACK,cafe_restaurant,-8.47
Leon Direct Debit Eu,cafe_restaurant,-47.68
mcdonald's monthly,cafe_restaurant,-5.1
dm drogerie auto-renewal supplements,health,-68.19
pass downtown,transport,-63.38
puregym | invoice | mlrajh8no protein,health,-226.53
enterprise auto-renewal trip,transport,-4.23
CONTACTLESS CAFFE NERO,cafe_restaurant,-3.2
MANGO DIRECT DEBIT,shopping,-324.19
Mastercard Laser Tag Gig,entertainment,-112.69
purchase boots beauty shoes,shopping,-378.55
Autopay Outlet Store Dress,shopping,-187.91
Penny Visit Fresh Food,groceries,-108.53
outlet store delivery purchase,shopping,-392.59
ORDER TESCO BULK FOOD,groceries,-95.35
Fruits At Coop Organic,groceries,-103.73
Contactless Tgi Friday'S Dessert,cafe_restaurant,-40.59
Gas Bill-Lisbon-Debit Mortgage Payment,bills_utilities,-673.0
CIGNA,health,-206.72
CARD PAYMENT WHOLE FOODS BRUSSELS,groceries,-26.99
CREDIT WAYFAIR TROUSERS,shopping,-473.74
BP/CHARGE/DE TRIP,transport,-38.24
ryanair*lzgcccha charging,transport,-52.41
PAYROLL STRIPE REF 1QOZOZETM,income,5059.63
direct debit toll gate,transport,-3.11
electricity credited,bills_utilities,-574.19
RETURN ESCAPE ROOM GAMING,entertainment,-127.65
Aldi Received Fresh Food,groceries,-95.38
Electricity Near Work Subscription Renewal,bills_utilities,-923.99
Credit Mental Health App Vienna Protein,health,-161.68
RECURRING EUROPCAR TICKET,transport,-8.83
vodafone home ecom,bills_utilities,-1298.86
UTILITIES MONTHLY MONTHLY BILL,bills_utilities,-689.11
Gym From La Fitness Prescription,health,-144.44
ITSU ESPRESSO LUNCH,cafe_restaurant,-12.65
IBAN SPAR GROCERY SUPERMARKET RUN,groceries,-16.37
coop,groceries,-89.87
ORDER CAR PARK FERRY CROSSING,transport,-26.16
fiverr txn paypal,income,4007.49
card payment asos london jacket,shopping,-88.92
GAP VISIT,shopping,-305.73
GOVERNMENT PAYMENT INBOUND TRANSFER,income,1255.35
Dentist*Vkxnvz00O Supplements,health,-46.66
Domino'S Payment Drinks,cafe_restaurant,-64.34
credit greyhound,transport,-25.23
Kaufland Fee App Fresh Food,groceries,-72.46
CLINIC / FITNESS CLASS,health,-93.64
SHAKE SHACK - PASTA LUNCH,cafe_restaurant,-8.35
HOME INSURANCE TIVSP94XG DUBLIN,bills_utilities,-1355.99
PURCHASE EPIC GAMES,entertainment,-24.75
STANDING ORDER DUNKIN,cafe_restaurant,-63.99
recurring wish,shopping,-451.62
bowling / membership,entertainment,-110.24
ORDER DENTIST,health,-41.82
Engie Payment,bills_utilities,-713.55
under armour visit clothing,shopping,-309.21
David Lloyd Iban Ref 8Hxjqg19F,health,-247.43
TRENITALIA CARD REF WTBWA0PML,transport,-21.31
Netfli Amsterdam Paypal Subscription,entertainment,-69.31
CREDIT SPECIALIST VITAMINS,health,-160.14
SHIRT DOWNTOWN TROUSERS,shopping,-76.83
Billa 9Ld8Xmsg  Bread,groceries,-19.09
standing order peacock,entertainment,-54.49
Payment From Walgreens,health,-215.77
NATIONAL RAIL WITH FRIENDS PARKING FEE,transport,-5.05
ADIDAS RECURRING/DUBLIN DELIVERY,shopping,-227.54
dessert near work dessert,cafe_restaurant,-19.57
Sainsbury'S Bill Weekly Shop,groceries,-125.05
trader joe's received food shopping,groceries,-82.81
ramen (wine bar) sushi,cafe_restaurant,-37.16
project payment (upwork),income,3404.6
amazon online,shopping,-426.47
PRET A MANGER*TXN DE ESPRESSO,cafe_restaurant,-62.43
recurring orlen pass,transport,-52.73
Bowling Txn,entertainment,-85.79
CAFFE NERO VISIT DESSERT,cafe_restaurant,-63.59
DIRECT DEBIT BIO COMPANY,groceries,-48.11
blood test bill,health,-104.59
DINNER CREDITED LUNCH,cafe_restaurant,-6.32
under armour,shopping,-24.66
Corner Shop Visit,groceries,-92.22
food truck/purchase/warsaw,cafe_restaurant,-20.01
FREE NOW - PETROL TOLL,transport,-16.53
autopay domino's debit cappuccino,cafe_restaurant,-26.13
tesco online,groceries,-43.06
Pizza Express | Payment | Eedf9Wcum Brunch,cafe_restaurant,-31.51
trip at wizz air charging,transport,-41.56
sephora bill electronics,shopping,-166.16
Return Playstation,entertainment,-27.48
Equinox - Health Insurance Supplements,health,-94.76
REI CLOTHING,shopping,-98.97
supermarket direct debit,groceries,-115.54
papa john's*ct1vxsx6 beer,cafe_restaurant,-62.1
LASER TAG CONTACTLESS/MADRID,entertainment,-69.87
autopay wagamama debit,cafe_restaurant,-27.61
VINTED DIRECT DEBIT SNEAKERS,shopping,-400.95
Cafe Payment,cafe_restaurant,-20.83
card payment indian takeaway amsterdam sandwich,cafe_restaurant,-9.18
Credit Street Food,cafe_restaurant,-43.4
Coop Received Bread,groceries,-123.01
Dd Train,transport,-20.13
pret a manger - coffee,cafe_restaurant,-29.88
THEATRE GIG CONCERT TICKET,entertainment,-118.04
carrefour auto-renewal,groceries,-81.63
Electr Gb Contactless,bills_utilities,-713.01
Credit Avis,transport,-13.74
MARKS SPENCER-US-STRIPE GROCERIES,groceries,-45.12
odeon mastercard escape room,entertainment,-22.26
Q8 RECEIVED JOURNEY,transport,-73.84
Penny Visa Madrid,groceries,-118.89
DD BP,transport,-48.63
TRAMPOLINE PARK / GAMING GAME,entertainment,-41.16
pilates auto-renewal,health,-206.97
PROTEIN FROM OPTICIAN,health,-83.13
recurring whole foods de bread,groceries,-121.56
Protein Outing,health,-85.69
Sepa Tommy Hilfiger Jacket Trousers,shopping,-197.24
EE AUTO-RENEWAL,bills_utilities,-1039.09
sncf contactless/madrid pass,transport,-53.22
ANYTIME FITNESS RECEIVED DOCTOR VISIT,health,-48.61
CONTACTLESS WAITROSE FOOD SHOPPING,groceries,-11.87
PLANET FITNESS MONTHLY WORKOUT,health,-90.07
REWE BILL,groceries,-98.07
card payment douglas warsaw shoes,shopping,-371.92
COUNCIL TAX DIRECT DEBIT,bills_utilities,-767.68
Online Free Now Ride,transport,-25.12
Ticket At Free Now,transport,-42.98
Best Buy Direct Debit,shopping,-157.34
Puregym-Rome-Visa Vitamins,health,-241.12
Ferry Crossing Outing Ticket,transport,-6.39
app douglas laptop headphones,shopping,-449.93
Accessories Near Work Homeware,shopping,-349.35
EQUINOX BILL MEDICINE,health,-219.95
autopay shein credit jacket,shopping,-376.92
rent payment water,bills_utilities,-292.78
iban aviva direct debit annual fee,bills_utilities,-769.09
aviva health / health insurance checkup,health,-223.05
migros received,groceries,-37.41
HEALTH INSURANCE NEAR WORK,health,-30.02
john lewis delivery furniture,shopping,-442.59
corner shop recurring/warsaw bread,groceries,-94.44
tidal card,entertainment,-100.6
douglas inbound transfer,shopping,-499.46
DD PAPA JOHN'S KEBAB,cafe_restaurant,-62.88
SPOTIFY PAYMENT,entertainment,-13.23
Recurring Steam,entertainment,-5.18
Npower Payment,bills_utilities,-714.71
HOLLAND BARRETT*ZRWX6BU0Z,health,-246.04
SHAKE  DE IBAN DESSERT,cafe_restaurant,-63.46
Metro Direct Debit Ride,transport,-33.34
upwork iban ref kn1vthicl,income,5061.32
SO JOHN LEWIS,shopping,-284.89
autopay wizz air purchase,transport,-31.24
Autopay Amazon Order,shopping,-28.68
Dunkin Visit,cafe_restaurant,-57.36
MEDIAMARKT ONLINE,shopping,-23.0
purchase allianz council tax,bills_utilities,-86.74
asos card berlin sneakers,shopping,-253.75
aldi dairy,groceries,-117.96
mini golf direct debit,entertainment,-24.83
Autopay Lv Insurance Txn,bills_utilities,-480.0
TXN CROSSFIT PRAGUE,health,-231.76
TOTAL / SHUTTLE,transport,-62.98
PURCHASE NATIONAL EXPRESS AIRPORT TRANSFER,transport,-3.87
autopay apple store charge online order,shopping,-291.27
contactless ikea phone,shopping,-471.13
ESSO | INVOICE | HCQE45BO FUEL,transport,-49.13
Contactless Decathlon Clothes,shopping,-335.22
AXA HEALTH*INV LOS ANGELES CHECKUP,health,-62.83
amazon prime video received game,entertainment,-7.03
WAYFAIR POS/LONDON,shopping,-266.53
trenitalia received toll,transport,-30.7
vodafone home - gas,bills_utilities,-827.89
Payment From Aliexpress,shopping,-151.54
CARD PAYMENT DENTIST VIENNA,health,-217.09
dairy at local market meat,groceries,-76.9
rewe supermarket run vegetables,groceries,-103.91
SANDWICH NEAR WORK PASTA,cafe_restaurant,-57.87
parking fee near work,transport,-51.07
DIRECT DEBIT HBO MAX PRAGUE,entertainment,-139.59
SSE WITH FRIENDS,bills_utilities,-1204.93
mortgage recurring ref 4ttbbbrax,bills_utilities,-660.25
Tapas Bar Contactless Ref Afkxrglzo Brunch,cafe_restaurant,-33.71
MEDICATION AT ANYTIME FITNESS PRESCRIPTION,health,-150.15
HOLLAND BARRETT POS/LOS ANGELES DENTAL,health,-79.03
Broadband Delivery Gas,bills_utilities,-1469.47
Dress Outing Jacket,shopping,-224.88
Popeyes / Dine In Kebab,cafe_restaurant,-6.42
Autopay Specialist Transfer,health,-117.43
dd bolt fare,transport,-10.07
KAUFLAND,groceries,-103.35
escape room credit gaming,entertainment,-72.65
RETURN TRAM,transport,-21.33
Gog With Friends,entertainment,-70.26
DELIVERY MEAL NEAR WORK KEBAB,cafe_restaurant,-24.16
zara-new york-pos jewellery,shopping,-369.99
TRENITALIA*K4SDH2RR4Z,transport,-52.97
RETURN VATTENFALL SUBSCRIPTION RENEWAL,bills_utilities,-333.47
mcdonald's | transfer | e8czxsty,cafe_restaurant,-51.89
edf | credit | zanvy2gr04,bills_utilities,-329.22
Trampoline Park*Cha  Streaming,entertainment,-79.02
Purchase John Lewis,shopping,-293.63
holland barrett received,health,-136.53
purchase clinic supplements,health,-21.24
dentist stripe gym,health,-229.47
contactless comedy club membership,entertainment,-42.08
CIGNA MONTHLY,health,-88.93
AUTOPAY THAI RESTAURANT ORDER,cafe_restaurant,-56.51
AUTOPAY O2 ORDER MONTHLY BILL,bills_utilities,-190.53
Credit Online Shop Clothes,shopping,-478.89
RESTAURANT CHARGE DIRECT DEBIT,cafe_restaurant,-56.96
FOOD TRUCK-WARSAW-POS SANDWICH,cafe_restaurant,-14.34
ECOM HOLLAND BARRETT DOCTOR VISIT MEDICATION,health,-239.16
ONLINE SHOP DIRECT DEBIT,shopping,-24.71
SO BROADBAND INSURANCE PREMIUM,bills_utilities,-1414.19
purchase bistro dinner,cafe_restaurant,-53.05
cinepolis credit card bowling,entertainment,-114.81
Drinks At Domino'S,cafe_restaurant,-56.27
Revolut Transfer Ecom Paris Bonus Received,income,4660.83
laptop near work delivery,shopping,-448.14
next visa paris delivery,shopping,-135.62
CARD PAYMENT BURGER KING PRAGUE,cafe_restaurant,-49.57
Bowling Auto-Renewal Festival Pass,entertainment,-96.24
CARD PAYMENT AT&T US COUNCIL TAX,bills_utilities,-1138.93
asda online eggs,groceries,-59.75
Autopay Online Shop Transfer Headphones,shopping,-246.08
Groceries Downtown Eggs,groceries,-73.8
SPA*TSRKHK,health,-216.32
FOOD TRUCK MONTHLY,cafe_restaurant,-10.1
SCIENC VIENNA STRIPE DLC,entertainment,-122.66
FITNESS CLASS (AXA HEALTH),health,-167.5
l'occitane delivery,shopping,-317.29
Autopay Swisscom Subscription,bills_utilities,-920.43
pizza hut dessert cake,cafe_restaurant,-25.23
nuffield health monthly,health,-89.73
Broker Payout Delivery,income,2788.71
STREET FOOD DIRECT DEBIT,cafe_restaurant,-40.61
RECURRING BOOTS WORKOUT,health,-206.82
App Deutsche Bahn Fuel,transport,-64.12
pizzeria online,cafe_restaurant,-19.95
XBOX SEPA GB,entertainment,-91.98
Incentive Payment 49Upxer Stockholm,income,3394.37
Sandwich Downtown,cafe_restaurant,-27.66
Contactless Zara,shopping,-422.58
PIZZA  DE DEBIT BREAKFAST,cafe_restaurant,-60.28
WINE (LEON),cafe_restaurant,-12.94
POS LV INSURANCE WARSAW BROADBAND BILL,bills_utilities,-302.86
Food Shopping Outing,groceries,-93.39
Dd Europcar Charging,transport,-11.21
Hertz-Dublin-Online Ride,transport,-13.16
contactless europcar,transport,-7.15
t-mobile*ord warsaw,bills_utilities,-703.06
DD CONTRACTOR FEE,income,767.57
CARD PAYMENT ENTERPRISE DUBLIN SHUTTLE,transport,-19.67
burger downtown,cafe_restaurant,-45.73
payment from rossmann,health,-48.32
Topshop*Vvfab922J,shopping,-320.73
TRIP PETROL,transport,-78.88
UNIQLO AUTO-RENEWAL DRESS,shopping,-180.76
FITNESS CLASS NEAR WORK MEDICAL,health,-153.15
AUTOPAY MEDIAMARKT ORDER,shopping,-31.78
return airbnb payout,income,3431.72
Refund | Debit | 19Iz0Nk Wage Credit,income,1280.17
Avis Txn Ref O4I3Enhod Pass,transport,-32.07
Supplements From Puregym Fitness Class,health,-77.14
trousers outing clothing,shopping,-284.38
Insurance Premium At Edf Electricity,bills_utilities,-767.56
DD SUBWAY LATTE,cafe_restaurant,-35.95
Corner Rome Debit,groceries,-72.69
Vat Refund / Payout,income,3217.37
ramen  los angeles online,cafe_restaurant,-8.52
PAYMENT FROM SAINSBURY'S,groceries,-110.05
WAITROSE - EGGS EGGS,groceries,-107.33
AUTOPAY WHOLE FOODS PURCHASE,groceries,-28.28
cocktail downtown,cafe_restaurant,-46.04
NANDO'S ONLINE,cafe_restaurant,-54.01
CONTACTLESS MEGABUS TRAVEL CARD,transport,-45.33
CONTACTLESS WALGREENS SUPPLEMENTS,health,-100.87
dd stripe payout salary received,income,3222.49
clothing store / phone phone,shopping,-135.93
SATURN KITCHENWARE,shopping,-85.03
Mango Laptop Electronics,shopping,-292.53
CONTACTLESS DENTIST MEDICAL,health,-228.16
Card Payment Boots Beauty Rome,shopping,-218.33
CLOTHES FROM ONLINE SHOP,shopping,-455.4
Dd Deutsche Bahn,transport,-37.01
CREDIT DEEZER SHOW MEMBERSHIP,entertainment,-74.34
Bio Company With Friends Eggs,groceries,-109.11
HOLLAND BARRETT INBOUND TRANSFER,health,-228.25
Gift (Primark),shopping,-310.97
PAYMENT FROM TAXI PASS,transport,-54.04
GROCERY OUTING MILK,groceries,-42.77
Vodafone Direct Debit,bills_utilities,-995.84
INDIAN TAKEAWAY MASTERCARD,cafe_restaurant,-16.5
trip near work ride,transport,-13.02
Water (Direct Line) Phone Plan,bills_utilities,-144.57
CAR PARK*5VA1CBSRRT DIESEL,transport,-52.27
whole foods online,groceries,-113.13
BIO COMPANY BILL GROCERY,groceries,-115.1
CASHBACK CREDITED OUTING CASHBACK CREDITED,income,2415.28
ALDI DIRECT DEBIT/NEW YORK BREAD,groceries,-114.8
Clothing Store/Invoice/Fr Phone,shopping,-362.78
CARD AVIVA STOCKHOLM GAS,bills_utilities,-769.33
LIDL CREDIT AUTOPAY VEGETABLES,groceries,-59.39
FOOD SHOPPING DOWNTOWN,groceries,-84.3
Nuffield Health 4Usth98H Amsterdam Medication,health,-34.18
Greyhound Debit Madrid,transport,-4.48
phone plan outing,bills_utilities,-1309.5
Kitchenware From Rei,shopping,-15.2
puma monthly jewellery,shopping,-325.29
standing order taxi shuttle,transport,-56.19
Outlet Store Monthly Clothes,shopping,-431.14
Iban Bakery Rome Brunch,cafe_restaurant,-38.98
VERIZON POS PARIS,bills_utilities,-682.12
DIRECT DEBIT FREELANCE PAYMENT INTEREST CREDITED,income,4980.99
Dd Food Market,groceries,-54.39
Standing Order Tram Pass,transport,-71.63
PAYPAL TRANSFER*3DQ6XN56NC SALARY RECEIVED,income,2030.7
Pos Pizza Express Lisbon Coffee,cafe_restaurant,-4.97
DEBIT VINTED AMSTERDAM SHIRT,shopping,-276.13
Ride Downtown,transport,-65.83
fnac inbound transfer,shopping,-232.45
DENTIST FEE MASTERCARD MEDICAL,health,-41.11
MARKS SPENCER APP REF 716GROM0V FOOD SHOPPING,groceries,-70.2
indian takeaway auto-renewal,cafe_restaurant,-23.88
JOHN LEWIS / SNEAKERS SHIRT,shopping,-144.7
DOUGLAS*BWU5540ST JACKET,shopping,-122.46
yoga studio received,health,-93.32
Crunchyroll Direct Debit Ref 9Jtiim,entertainment,-96.95
Health Insurance Downtown Health Insurance,health,-232.72
physiotherapy auto-renewal vitamins,health,-246.3
vue cinema with friends,entertainment,-68.18
esso app ref 06qgdz92b,transport,-10.87
beer downtown,cafe_restaurant,-36.06
Restaurant*50J6Y3C,cafe_restaurant,-34.42
Recurring Nuffield Health Workout,health,-234.98
Papa John'S Payment Takeaway,cafe_restaurant,-45.67
DEEZER/PAYMENT/MADRID,entertainment,-90.52
Card Payment Therapy De Medicine,health,-87.26
HOSPITAL,health,-140.86
direct debit bio company supermarket run,groceries,-51.82
Government Payment / Wage Credit,income,2038.62
DD RESTAURANT,cafe_restaurant,-20.02
car park yqxfakn rome fuel,transport,-6.24
O2 - BROADBAND BILL,bills_utilities,-306.19
STANDING ORDER DEPARTMENT STORE,shopping,-412.57
BISTRO-CHICAGO-PAYPAL,cafe_restaurant,-33.96
asda auto-renewal bulk food,groceries,-45.54
FIVE GUYS / RAMEN,cafe_restaurant,-57.85
RETURN FESTIVAL,entertainment,-52.85
Free Now Payment,transport,-50.78
Commute Credited Fuel,transport,-3.42
Electricity Bill*Inv  Standing Order,bills_utilities,-1211.06
ORDER ASDA FRUITS,groceries,-66.59
Standing Order Sky,bills_utilities,-560.58
Payment From Lidl,groceries,-17.9
kfc payment,cafe_restaurant,-45.84
CLOTHES (ELECTRONICS STORE) PHONE,shopping,-490.74
Migros Txn Supermarket Run,groceries,-112.26
EMPLOYER DIRECT DEBIT/DUBLIN INTEREST CREDITED,income,4843.65
L'Occitane*Oq27F4Vay7 Gift,shopping,-190.66
STREET FOOD DELIVERY WINE,cafe_restaurant,-19.58
CREDIT THREE ELECTRICITY,bills_utilities,-1396.09
card payment trenitalia warsaw ferry crossing,transport,-55.94
RETURN LLOYDS PHARMACY,health,-197.37
Gadget Downtown,shopping,-15.81
DRESS CREDITED,shopping,-167.1
carrefour credit/fr,groceries,-115.14
VAT REFUND MONTHLY COMMISSION PAID,income,540.9
Payment From Next,shopping,-357.1
Wagamama*Y0Efduedx0 Dessert,cafe_restaurant,-60.3
Online Zara Phone,shopping,-342.14
Interest Payment Received,income,3380.8
phone plan at sse rent payment,bills_utilities,-148.27
PURCHASE ROBLOX,entertainment,-100.92
DESSERT CREDITED,cafe_restaurant,-22.74
card sainsbury's fresh food,groceries,-18.35
Iban Coop Organic Bulk Food,groceries,-16.58
So Rwe Standing Order,bills_utilities,-725.91
MEDICINE CREDITED DOCTOR VISIT,health,-203.83
FESTIVAL PASS,entertainment,-81.69
AMAZON CARD TROUSERS,shopping,-408.37
JOHN LEWIS*NF7OZQW,shopping,-225.15
Lyft Paypal Eu Charging,transport,-8.73
Produce Downtown Groceries,groceries,-101.5
CARD PAYMENT BUPA PRAGUE HEALTH INSURANCE,health,-226.52
Payment From Boots,health,-126.84
DAVID LLOYD VISA REF 0AZ70W MEDICAL,health,-32.96
