description,category
WENDY'S CHARGE ONLINE SAN FRANCISCO,food
pos utility payment,other
NANDO'S-SEPA-AMEX,food
steam visa los angeles,entertainment
bbc iplayer charge,entertainment
bolt intl/eu,transport
RENFE USA EUR,transport
mta*exp cairo,transport
sky fee online boston,entertainment
SPOTIFY ACH TXN,entertainment
bank of america ach payment,other
steam credit/seattle,entertainment
TESCO ORDER,shopping
STARBUCKS ONLINE USA,food
At&T Wire Netherlands,other
El Corte Ingles Iban Los Angeles Sepa,shopping
TRIP ITALO,transport
netflix order via stripe,entertainment
bart bill,transport
VERIZON PAYPAL NEW YORK,other
Debit Disney+,entertainment
EUROSTAR SUBSCRIPTION ONLINE EU,transport
deutsche bahn online miami sepa,transport
BEST BUY SEATTLE #23316,shopping
T-MOBILE SEPA MILAN,other
Verizon-Austria-Amex,other
Utility Payment Subscription Online Egypt,other
renfe amex/wa,transport
atm-london-debit,other
dunkin txn online wa,food
Amtrak Intl/Egypt,transport
Unknown-Paris-Amex,other
PRET A MANGER PURCHASE ONLINE LONDON,food
WALMART IBAN UK,shopping
Amazon Chicago #53420,shopping
RENFE RIDE  SEPA,transport
pret a manger txn txn,food
TARGET PAYMENT VIA WIRE,shopping
Walgreens Txn Via Delivery,health
TARGET IL EUR,shopping
greggs seattle eur,food
tesco iban payment,shopping
VERIZON*CHA AMSTERDAM,other
apotek txn,health
kfc austria sepa,food
WALMART IBAN BILL,shopping
CARD SALARY,other
spar app france sepa,food
UNKNOWN RIDE/LOS ANGELES,other
Aldi Ny #65447,shopping
CVS CHARGE ONLINE SEPA,health
BOLT ORDER VIA INTL,transport
Trainline Ecom/Usa,transport
BART SEPA/AMSTERDAM,transport
Wire Disney+,entertainment
Cvs Iban Charge,health
SKY FRANCE EUR,entertainment
DOCMORRIS WIRE FRANCE,health
Amazon Pos/New York,shopping
STARBUCKS PAYMENT VIA DELIVERY,food
PRET A MANGER TX WEB,food
BARCLAYS PAYPAL/BERLIN,other
Xbox Amsterdam Square,entertainment
T-MOBILE CREDIT GERMANY SEPA,other
barclays online brussels,other
LIDL WIRE NETHERLANDS SEPA,food
Steam Square/,entertainment
sncf il txn,transport
COSTCO USA #47189,shopping
UNKNOWN TXN ROME SEPA,other
Target Subscription Online Alex,shopping
Bart Txn Online Austria,transport
Uber Sepa Txn,transport
sncf visa/paris,transport
TARGET ONLINE LONDON SEPA,shopping
VODAFONE UAE #81268,other
UNKNOWN-ALEX-ECOM,other
wire eat.,food
zalando new york #35392,shopping
Renfe Online/Eu,transport
PAYPAL TARGET,shopping
Nando'S Debit Seattle,food
bbc iplayer payment via txn,entertainment
Salary Bill Via Ecom,other
BBC IPLAYER FRANCE EUR,entertainment
Xbox*Pay Rome,entertainment
hospital-uk-square,health
ZALANDO BERLIN EUR,shopping
SPAR TXN VIA INTL,food
TESCO AMEX ORDER,shopping
Verizon Mastercard New York Sepa,other
BANK OF AMERICA INTL NEW YORK SEPA,other
TRIP XBOX,entertainment
BEST BUY CREDIT SUBSCRIPTION,shopping
Pret A Manger Visa Vienna Sepa,food
amtrak il sepa,transport
COSTCO CHARGE ONLINE IL,shopping
TRAINLINE ROME #91451,transport
ZALANDO BOSTON #75857,shopping
VODAFONE GIZA #30731,other
KFC WA POS,food
Clinic Dallas Ach,health
Gym Order Via Txn,health
Lyft Visa/Us,transport
amazon ride madrid,shopping
EL CORTE INGLES*BIL ITALY,shopping
atm*bil ,other
Barclays Germany Eur,other
Zalando Ride Purchase,shopping
canal+ debit purchase,entertainment
le pain quotidien giza #32521,food
Wendy'S App Belgium,food
Pret A Manger Subscription,food
BOOTS POS BILL,health
T-Mobile Txn,other
Mcdonalds Ride Usa,food
DOCMORRIS*PAY SAN FRANCISCO,health
El Corte Ingles Usa Eur,shopping
Tfl Txn Via Online,transport
Mta Paypal/Alex,transport
NANDO'S AMSTERDAM SQUARE,food
UNKNOWN*EXP EUR,other
target brussels eur,shopping
El Corte Ingles*Bil Eu,shopping
sncf rome eur,transport
Tesco Order Via Iban,shopping
Pharmacy Square Bill,health
O2 AMEX ORDER,other
pos utility payment,other
EUROSTAR PURCHASE VIA PAYPAL,transport
SPOTIFY BRUSSELS DEBIT,entertainment
italo new york eur,transport
Playstationhulu Txn Online Miami,entertainment
Sky Txn Uae,entertainment
TARGET MADRID EUR,shopping
Spar Order Online Alex,food
Lidl Fee,food
canal+ dallas eur,entertainment
TXN SKY,entertainment
Youtube Iban Charge,entertainment
lyft chicago eur,transport
tesco bill via square,shopping
BILLA*EXP CAIRO,food
Pharmacy Uae Online,health
hospital bill via amex,health
Visa Clinic,health
NANDO'S FEE VIA CARD,food
utility payment payment,other
HOSPITAL TXN,health
T-Mobile Expense Via Trip,other
SPAR WIRE MADRID,food
Eurostar*Ord London,transport
chipotle bill,food
Youtube Wa Eur,entertainment
dunkin expense via online,food
pharmacy digital los angeles,health
Eurostar Payment Online Miami,transport
Eat. Paypal Tx Sepa,food
chipotle*pay rome,food
canal+*cha new york,entertainment
lyft txn,transport
amc theatres fee online chicago,entertainment
SPAR*PUR CHICAGO,food
Chipotle App Seattle,food
carrefour card/austria,shopping
amc theatres txn/brussels,entertainment
Eurostar Wa Pos,transport
best buy order online vienna,shopping
Canal+ Intl Boston Sepa,entertainment
barclays expense online madrid,other
Amazon Egypt #71650,shopping
MCDONALDS TXN VIA POS,food
verizon*txn alex,other
Walgreens Charge Via Visa,health
Mta Iban/Madrid,transport
costco alex eur,shopping
Mcdonalds-Egypt-Ach,food
chase charge online chicago,other
Pret A Manger Ny Visa,food
APOTEK-US-SEPA,health
HSBC POS/BRUSSELS,other
Bank Of America Bill Online Ksa,other
BOOTS WA #72212,health
TRAINLINE--SEPA,transport
CHASE*SUB USA,other
cvs payment via online,health
Bank Of America Uk Eur,other
DEBIT BILLA,food
greggs-los angeles-iban,food
trainline il #99942,transport
CVS RIDE USA SEPA,health
best buy new york eur,shopping
DUNKIN INTL/LONDON,food
RENFE*PAY WA,transport
mcdonalds-eur-paypal,food
Taco Bell Boston #62019,food
Chase*Ord Eu,other
playstationhulu web order,entertainment
Dunkin Uk #14660,food
Disney+ London Intl,entertainment
NANDO'S TRIP SPAIN,food
walgreens txn online austria,health
ATM-EUR-POS,other
O2 RIDE/,other
BARCLAYS CA #7327,other
BOLT AMEX CA,transport
Clinic*Fee Il,health
SKY EGYPT PAYPAL,entertainment
El Corte Ingles Trip Berlin Sepa,shopping
HSBC CHARGE,other
Taco Bell Giza #74920,food
WALMART PAYMENT VIA POS,shopping
zalando us eur,shopping
HSBC*SUB SEPA,other
t-mobile tx eur,other
taco bell expense online wa,food
Mta Expense Online Dallas,transport
STEAM*FEE NY,entertainment
bolt subscription via txn,transport
APOTEK SUBSCRIPTION ONLINE SPAIN,health
le pain quotidien intl/tx,food
vodafone vienna #80914,other
el corte ingles credit/new york,shopping
clinic square dallas,health
renfe ride austria,transport
uber purchase via mastercard,transport
Utility Payment Order,other
LE PAIN QUOTIDIEN EXPENSE ONLINE BOSTON,food
hsbc payment online miami,other
CANAL+ EXPENSE VIA APP,entertainment
orange dallas web,other
Playstationhulu Delivery/Milan,entertainment
VODAFONE BELGIUM PAYPAL,other
Chase Order Online Boston,other
ONLINE BANK OF AMERICA,other
Paul Bakery Credit Expense,food
utility payment payment via card,other
Bart-Eu-Credit,transport
mta payment online uk,transport
uber ny #90392,transport
Docmorris Netherlands #95539,health
best buy sepa austria sepa,shopping
sncf debit amsterdam,transport
Walmart Ksa Eur,shopping
wendy's debit usa,food
UTILITY PAYMENT TXN ONLINE MILAN,other
amtrak belgium eur,transport
EUROSTAR CHARGE ONLINE LOS ANGELES,transport
APOTEK*PAY BRUSSELS,health
YOUTUBE*PUR AUSTRIA,entertainment
cvs dallas #40728,health
RENFE SUBSCRIPTION,transport
Wire Le Pain Quotidien,food
dunkin purchase,food
spar-san francisco-ecom,food
rite aid purchase,health
Utility Payment Mastercard Expense,other
youtube online/boston,entertainment
LYFT-ALEX-DIGITAL,transport
verizon ach/eu,other
eurostar-fl-visa,transport
vodafone ride uae,other
tesco sepa amex,shopping
DOCMORRIS SUBSCRIPTION VIA WEB,health
Disney+ Los Angeles #54967,entertainment
BEST BUY SQUARE CHARGE,shopping
BBC IPLAYER POS/MADRID,entertainment
docmorris delivery chicago sepa,health
dunkin purchase,food
Best Buy Ksa #48251,shopping
NANDO'S ROME #92517,food
rite aid ach/sepa,health
LIDL EXPENSE VIA TXN,food
CHASE-MILAN-VISA,other
Cvs Subscription,health
WENDY'S LOS ANGELES EUR,food
Le Pain Quotidien Fee,food
Carrefour Online Us,shopping
walgreens france ach,health
gym italy #1064,health
Boots Boston Eur,health
WALGREENS CHICAGO EUR,health
mcdonalds charge online uk,food
square chipotle,food
o2*bil ksa,other
ALDI LOS ANGELES #26103,shopping
pos bank of america,other
Kfc Wire London Sepa,food
app salary,other
kfc milan eur,food
AMTRAK UAE EUR,transport
xbox txn via txn,entertainment
Le Pain Quotidien Sepa Fl,food
tesco charge via online,shopping
Walmart Square Dallas Sepa,shopping
Subway Ride Cairo Sepa,food
Canal+  Eur,entertainment
O2 App/Uk,other
CARREFOUR*SUB EGYPT,shopping
mta wire order,transport
ALDI WIRE IL,shopping
EL CORTE INGLES STRIPE BILL,shopping
rite aid ny #35548,health
AMEX BBC IPLAYER,entertainment
zalando*ord germany,shopping
Unknown Austria Eur,other
canal+ bill via ride,entertainment
renfe charge via txn,transport
Utility Payment Payment Online Dallas,other
Boots Expense Online Miami,health
hospital delivery/los angeles,health
walgreens iban ,health
UTILITY PAYMENT-FL-TXN,other
uber amex/madrid,transport
Lidl Stripe Charge,food
Salary*Bil ,other
rite aid debit txn,health
SALARY PURCHASE,other
RITE AID ORDER,health
CREDIT ALDI,shopping
italo madrid stripe,transport
Chase Ca #50856,other
kfc paypal boston,food
Lidl-Rome-App,food
Docmorris Tx Eur,health
O2 STRIPE/AMSTERDAM,other
Debit Boots,health
SNCF SQUARE TX,transport
RITE AID POS ITALY,health
paul bakery paris eur,food
spotify order via txn,entertainment
kfc order online netherlands,food
deutsche bahn amex austria,transport
steam ride fee,entertainment
TARGET PURCHASE,shopping
stripe rite aid,health
Rite Aid Txn Ksa,health
Starbucks Credit Fee,food
Verizon Txn,other
renfe*pay dallas,transport
Bolt Fee Via Visa,transport
YOUTUBE*TXN LONDON,entertainment
cvs austria eur,health
Hsbc Los Angeles Mastercard,other
el corte ingles sepa il,shopping
SQUARE MTA,transport
GREGGS MIAMI #16859,food
mta txn txn,transport
clinic*sub milan,health
sncf stripe  sepa,transport
Wendy'S Expense,food
netflix belgium eur,entertainment
DISNEY+ SPAIN EUR,entertainment
Trainline Egypt Visa,transport
ZALANDO BILL,shopping
COSTCO WA #27734,shopping
O2 Subscription Online Los Angeles,other
Le Pain Quotidien-Usa-Ecom,food
Xbox Wire Rome,entertainment
IBAN HSBC,other
Boots Payment Online Seattle,health
Renfe Txn Subscription,transport
Salary Fee Online San Francisco,other
BEST BUY EXPENSE VIA SEPA,shopping
PAUL BAKERY DIGITAL BILL,food
SKY SUBSCRIPTION,entertainment
Best Buy Txn Egypt,shopping
O2 Expense Via Sepa,other
Greggs Purchase,food
El Corte Ingles Order Online New York,shopping
T-MOBILE IBAN SUBSCRIPTION,other
gym spain #70510,health
STEAM SEPA FEE,entertainment
credit costco,shopping
BEST BUY-UK-WIRE,shopping
amtrak charge via card,transport
BOOTS-FRANCE-WIRE,health
taco bell-ksa-trip,food
Cvs Charge Via Ride,health
Disney+ Ach Milan,entertainment
NETFLIX INTL ,entertainment
BART ITALY EUR,transport
ecom hsbc,other
Le Pain Quotidien Iban Boston,food
Tesco Dallas Web,shopping
verizon tx eur,other
YOUTUBE TXN AUSTRIA SEPA,entertainment
Bart Sepa Mastercard,transport
SNCF TXN VIA CARD,transport
hospital*bil rome,health
TESCO PAYMENT ONLINE BELGIUM,shopping
Spotify Paris Eur,entertainment
Trainline Visa Netherlands Sepa,transport
el corte ingles ride subscription,shopping
Utility Payment Credit Bill,other
T-Mobile Debit Fee,other
Target*Bil Seattle,shopping
Rite Aid Pos Order,health
BEST BUY CA WEB,shopping
paul bakery germany #93286,food
Hospital Debit Italy,health
Apotek*Cha Cairo,health
Spotify Trip Charge,entertainment
orange bill online san francisco,other
APOTEK CREDIT ORDER,health
best buy ecom charge,shopping
SKY CHARGE VIA TXN,entertainment
AMAZON CHICAGO WEB,shopping
Target Stripe/Seattle,shopping
Deutsche Bahn-Il-Digital,transport
walgreens mastercard brussels sepa,health
Sky Digital/Amsterdam,entertainment
CHIPOTLE BELGIUM EUR,food
Chipotle Netherlands Pos,food
AMTRAK ALEX POS,transport
Docmorris Ca Sepa,health
Aldi Egypt Iban,shopping
Greggs Egypt #83557,food
carrefour mastercard/italy,shopping
ORANGE WEB FEE,other
DELIVERY SKY,entertainment
youtube sepa uk sepa,entertainment
Digital Bank Of America,other
STARBUCKS*PAY EU,food
Steam-New York-Sepa,entertainment
LYFT AUSTRIA EUR,transport
HOSPITAL MIAMI DEBIT,health
t-mobile berlin #24375,other
Eurostar Germany #35292,transport
verizon ach/berlin,other
Unknown Txn/Brussels,other
Bbc Iplayer Boston Intl,entertainment
HOSPITAL INTL SEATTLE,health
YOUTUBE ECOM FEE,entertainment
Credit Mta,transport
NANDO'S WEB IL SEPA,food
Pos Amc Theatres,entertainment
Bank Of America Paypal Cairo,other
PRET A MANGER NEW YORK INTL,food
mcdonalds ach seattle sepa,food
TESCO  EUR,shopping
Best Buy Credit Charge,shopping
Tfl Uk Amex,transport
XBOX BILL,entertainment
tfl app germany sepa,transport
CANAL+ PURCHASE VIA TRIP,entertainment
Uber Ksa Eur,transport
STEAM PURCHASE,entertainment
bart txn online vienna,transport
target london sepa,shopping
Amc Theatres-Austria-Ach,entertainment
verizon ride subscription,other
VERIZON MASTERCARD/UAE,other
BEST BUY NETHERLANDS EUR,shopping
VERIZON ALEX EUR,other
Stripe Costco,shopping
El Corte Ingles Sepa Purchase,shopping
EUROSTAR WEB PAYMENT,transport
Taco Bell Intl Ca Sepa,food
YOUTUBE NEW YORK #64813,entertainment
Renfe Il #36339,transport
DOCMORRIS WIRE BILL,health
Tfl-Germany-Intl,transport
best buy purchase online il,shopping
EL CORTE INGLES SPAIN TXN,shopping
nando's order online ,food
Tfl Alex Eur,transport
netflix tx eur,entertainment
RENFE TRIP/SAN FRANCISCO,transport
ALDI-CAIRO-DEBIT,shopping
TESCO AMEX/GIZA,shopping
Netflix Fee,entertainment
Txn Atm,other
GREGGS DELIVERY NEW YORK,food
Paul Bakery*Exp Amsterdam,food
CVS PURCHASE VIA CARD,health
spotify fee via paypal,entertainment
T-Mobile Ca Trip,other
eat.-fl-square,food
netflix*txn san francisco,entertainment
Walgreens Mastercard Austria,health
bank of america seattle #6644,other
ORANGE NY SEPA,other
PLAYSTATIONHULU EXPENSE ONLINE SEPA,entertainment
VERIZON TRIP ROME,other
tesco debit/germany,shopping
Atm Debit/Berlin,other
BOLT TXN USA SEPA,transport
gym digital order,health
BOLT TXN ONLINE USA,transport
WENDY'S MASTERCARD NEW YORK SEPA,food
Pharmacy Payment,health
Salary Germany #2446,other
YOUTUBE ORDER VIA INTL,entertainment
Le Pain Quotidien Order,food
UTILITY PAYMENT AUSTRIA EUR,other
Spar Payment,food
Playstationhulu Mastercard Payment,entertainment
Mta Trip Chicago Sepa,transport
BILLA PAYPAL ORDER,food
CARREFOUR*PAY CA,shopping
eurostar*exp alex,transport
uber bill,transport
Amc Theatres-Netherlands-Web,entertainment
ECOM RITE AID,health
Chase Fl Eur,other
At&T-Rome-Delivery,other
Vodafone Ca #52152,other
STEAM AMEX/EU,entertainment
TARGET UAE EUR,shopping
WENDY'S SEATTLE EUR,food
hospital alex eur,health
STARBUCKS ORDER VIA ONLINE,food
cvs ecom/belgium,health
INTL LYFT,transport
billa  iban,food
SPOTIFY*FEE AMSTERDAM,entertainment
PAUL BAKERY SAN FRANCISCO #11785,food
HSBC VISA KSA SEPA,other
canal+ txn uae,entertainment
TFL BILL VIA DEBIT,transport
PLAYSTATIONHULU STRIPE MIAMI,entertainment
Steam Ach Purchase,entertainment
playstationhulu txn,entertainment
AMC THEATRES EXPENSE VIA TRIP,entertainment
Online Sncf,transport
utility payment txn,other
bolt spain #8229,transport
sepa at&t,other
walgreens delivery eu sepa,health
bbc iplayer tx card,entertainment
Mta Txn Via Pos,transport
CHIPOTLE FEE ONLINE KSA,food
CHIPOTLE LONDON #49325,food
UTILITY PAYMENT*EXP UK,other
TARGET WEB WA SEPA,shopping
hospital-tx-app,health
Chase Bill Online Rome,other
YOUTUBE CREDIT GIZA,entertainment
NETFLIX ECOM SAN FRANCISCO SEPA,entertainment
Starbucks Belgium #66913,food
CHASE EXPENSE ONLINE ALEX,other
amazon sepa spain,shopping
Taco Bell Pos Bill,food
At&T Giza Credit,other
gym pos vienna,health
walgreens charge,health
